feature,importance,importance_pct,cumulative_pct
text__bolso,0.0,0.0,99.99999
text__bolsa,0.0,0.0,99.99999
text__body,0.0,0.0,99.99999
text__boca,0.0,0.0,99.99999
text__bmw,0.0,0.0,99.99999
text__bluetooth,0.0,0.0,99.99999
text__blue,0.0,0.0,99.99999
text__blu ray,0.0,0.0,99.99999
text__blister,0.0,0.0,99.99999
text__blanca,0.0,0.0,99.99999
text__blackberry,0.0,0.0,99.99999
text__black,0.0,0.0,99.99999
text__billete,0.0,0.0,99.99999
text__big,0.0,0.0,99.99999
text__buzo,0.0,0.0,99.99999
text__buen estado,0.0,0.0,99.99999
text__brasil,0.0,0.0,99.99999
text__botella,0.0,0.0,99.99999
text__botas,0.0,0.0,99.99999
text__bosch,0.0,0.0,99.99999
text__borges,0.0,0.0,99.99999
text__bora,0.0,0.0,99.99999
text__book,0.0,0.0,99.99999
text__35,0.0,0.0,99.99999
text__32,0.0,0.0,99.99999
text__300,0.0,0.0,99.99999
text__28,0.0,0.0,99.99999
text__27,0.0,0.0,99.99999
text__cama,0.0,0.0,99.99999
text__calada,0.0,0.0,99.99999
text__cajas,0.0,0.0,99.99999
text__cadena,0.0,0.0,99.99999
text__caballito,0.0,0.0,99.99999
text__caba,0.0,0.0,99.99999
text__by,0.0,0.0,99.99999
text__canon,0.0,0.0,99.99999
text__campo,0.0,0.0,99.99999
text__camisa,0.0,0.0,99.99999
text__camion,0.0,0.0,99.99999
text__42,0.0,0.0,99.99999
text__400,0.0,0.0,99.99999
text__40,0.0,0.0,99.99999
text__3d,0.0,0.0,99.99999
text__39,0.0,0.0,99.99999
text__38,0.0,0.0,99.99999
text__37,0.0,0.0,99.99999
text__360,0.0,0.0,99.99999
text__36,0.0,0.0,99.99999
text__case,0.0,0.0,99.99999
text__casco,0.0,0.0,99.99999
text__casa,0.0,0.0,99.99999
text__cartucho,0.0,0.0,99.99999
text__cartera,0.0,0.0,99.99999
text__carteles,0.0,0.0,99.99999
text__cartel,0.0,0.0,99.99999
text__cartas,0.0,0.0,99.99999
text__carlos,0.0,0.0,99.99999
text__cargo,0.0,0.0,99.99999
